0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
21,20,19,18,17,16,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,4,5,6,7,8,9,24,23,22,21,20,19,18,17,16,15,14,13,12,13,14,15,14,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,24,23,22,21,20,19,18,17,15,14,13,11,10,9
22,21,20,19,18,17,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,5,6,7,8,9,10,25,24,23,22,21,20,19,18,17,16,15,14,13,14,15,16,15,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,25,24,23,22,21,20,19,18,16,15,14,12,11,10
23,22,21,20,19,18,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,6,7,8,9,10,11,26,25,24,23,22,21,20,19,18,17,16,15,14,15,16,17,16,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,26,25,24,23,22,21,20,19,17,16,15,13,12,11
24,23,22,21,20,19,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,7,8,9,10,11,12,27,26,25,24,23,22,21,20,19,18,17,16,15,16,17,18,17,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,27,26,25,24,23,22,21,20,18,17,16,14,13,12
25,24,23,22,21,20,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,8,9,10,11,12,13,28,27,26,25,24,23,22,21,20,19,18,17,16,17,18,19,18,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,28,27,26,25,24,23,22,21,19,18,17,15,14,13
19,18,17,16,15,14,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,0,1,2,3,4,5,22,21,20,19,18,17,16,15,14,13,12,11,10,11,12,13,12,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,22,21,20,19,18,17,16,15,13,12,11,9,8,7
20,19,18,17,16,15,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,3,4,5,6,7,8,9,1,0,1,2,3,4,23,22,21,20,19,18,17,16,15,14,13,12,11,12,13,14,13,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,23,22,21,20,19,18,17,16,14,13,12,10,9,8
21,20,19,18,17,16,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,4,5,6,7,8,9,10,2,1,0,1,2,3,24,23,22,21,20,19,18,17,16,15,14,13,12,13,14,15,14,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,24,23,22,21,20,19,18,17,15,14,13,11,10,9
22,21,20,19,18,17,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,5,6,7,8,9,10,11,3,2,1,0,1,2,25,24,23,22,21,20,19,18,17,16,15,14,13,14,15,16,15,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,25,24,23,22,21,20,19,18,16,15,14,12,11,10
23,22,21,20,19,18,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,6,7,8,9,10,11,12,4,3,2,1,0,1,26,25,24,23,22,21,20,19,18,17,16,15,14,15,16,17,16,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,26,25,24,23,22,21,20,19,17,16,15,13,12,11
24,23,22,21,20,19,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,7,8,9,10,11,12,13,5,4,3,2,1,0,27,26,25,24,23,22,21,20,19,18,17,16,15,16,17,18,17,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,27,26,25,24,23,22,21,20,18,17,16,14,13,12
21,20,19,18,17,16,17,18,19,18,17,18,19,18,17,16,17,18,19,20,21,22,23,24,25,26,27,28,22,23,24,25,26,27,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,24,23,22,21,20,19,18,17,15,14,13,13,14,15
20,19,18,17,16,15,16,17,18,17,16,17,18,17,16,15,16,17,18,19,20,21,22,23,24,25,26,27,21,22,23,24,25,26,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,23,22,21,20,19,18,17,16,14,13,12,12,13,14
19,18,17,16,15,14,15,16,17,16,15,16,17,16,15,14,15,16,17,18,19,20,21,22,23,24,25,26,20,21,22,23,24,25,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,22,21,20,19,18,17,16,15,13,12,11,11,12,13
18,17,16,15,14,13,14,15,16,15,14,15,16,15,14,13,14,15,16,17,18,19,20,21,22,23,24,25,19,20,21,22,23,24,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,21,20,19,18,17,16,15,14,12,11,10,10,11,12
17,16,15,14,13,12,13,14,15,14,13,14,15,14,13,12,13,14,15,16,17,18,19,20,21,22,23,24,18,19,20,21,22,23,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,20,19,18,17,16,15,14,13,11,10,9,9,10,11
16,15,14,13,12,11,12,13,14,13,12,13,14,13,12,11,12,13,14,15,16,17,18,19,20,21,22,23,17,18,19,20,21,22,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,19,18,17,16,15,14,13,12,10,9,8,8,9,10
15,14,13,12,11,10,11,12,13,12,11,12,13,12,11,10,11,12,13,14,15,16,17,18,19,20,21,22,16,17,18,19,20,21,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,18,17,16,15,14,13,12,11,9,8,7,7,8,9
14,13,12,11,10,9,10,11,12,11,10,11,12,11,10,9,10,11,12,13,14,15,16,17,18,19,20,21,15,16,17,18,19,20,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,17,16,15,14,13,12,11,10,8,7,6,6,7,8
13,12,11,10,9,8,9,10,11,10,9,10,11,10,9,8,9,10,11,12,13,14,15,16,17,18,19,20,14,15,16,17,18,19,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,16,15,14,13,12,11,10,9,7,6,5,5,6,7
12,11,10,9,8,7,8,9,10,9,8,9,10,9,8,7,8,9,10,11,12,13,14,15,16,17,18,19,13,14,15,16,17,18,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,15,14,13,12,11,10,9,8,6,5,4,4,5,6
11,10,9,8,7,6,7,8,9,8,7,8,9,8,7,6,7,8,9,10,11,12,13,14,15,16,17,18,12,13,14,15,16,17,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,14,13,12,11,10,9,8,7,5,4,3,3,4,5
10,9,8,7,6,5,6,7,8,7,6,7,8,7,6,5,6,7,8,9,10,11,12,13,14,15,16,17,11,12,13,14,15,16,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,13,12,11,10,9,8,7,6,4,3,2,2,3,4
9,8,7,6,5,4,5,6,7,6,5,6,7,6,5,4,5,6,7,8,9,10,11,12,13,14,15,16,10,11,12,13,14,15,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,12,11,10,9,8,7,6,5,3,2,1,1,2,3
10,9,8,7,6,5,6,7,6,5,4,5,6,7,6,5,6,7,8,9,10,11,12,13,14,15,16,17,11,12,13,14,15,16,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,13,12,11,10,9,8,7,6,4,3,2,2,3,4
11,10,9,8,7,6,7,6,5,4,3,4,5,6,7,6,7,8,9,10,11,12,13,14,15,16,17,18,12,13,14,15,16,17,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,14,13,12,11,10,9,8,7,5,4,3,3,4,5
12,11,10,9,8,7,6,5,4,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,13,14,15,16,17,18,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,15,14,13,12,11,10,9,8,6,5,4,4,5,6
11,10,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,12,13,14,15,16,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,14,13,12,11,10,9,8,7,7,6,5,5,6,7
10,9,8,7,6,5,4,3,2,1,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,11,12,13,14,15,16,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,13,12,11,10,9,8,7,6,6,7,6,6,7,6
11,10,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,12,13,14,15,16,17,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,13,12,11,10,9,8,7,7,8,7,7,8,7
12,11,10,9,8,7,6,5,4,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,13,14,15,16,17,18,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,14,13,12,11,10,9,8,8,9,8,8,9,8
13,12,11,10,9,8,7,6,5,4,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,14,15,16,17,18,19,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,16,15,14,13,12,11,10,9,9,10,9,9,10,9
14,13,12,11,10,9,8,7,6,5,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,15,16,17,18,19,20,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,17,16,15,14,13,12,11,10,10,11,10,10,11,10
15,14,13,12,11,10,9,8,7,6,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,16,17,18,19,20,21,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,18,17,16,15,14,13,12,11,11,12,11,11,12,11
16,15,14,13,12,11,10,9,8,7,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,17,18,19,20,21,22,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,19,18,17,16,15,14,13,12,12,13,12,12,13,12
17,16,15,14,13,12,11,10,9,8,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,18,19,20,21,22,23,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,20,19,18,17,16,15,14,13,13,14,13,13,14,13
18,17,16,15,14,13,12,11,10,9,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,19,20,21,22,23,24,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,21,20,19,18,17,16,15,14,14,15,14,14,15,14
19,18,17,16,15,14,13,12,11,10,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,20,21,22,23,24,25,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,22,21,20,19,18,17,16,15,15,16,15,15,16,15
20,19,18,17,16,15,14,13,12,11,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,21,22,23,24,25,26,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,23,22,21,20,19,18,17,16,16,17,16,16,17,16
21,20,19,18,17,16,15,14,13,12,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,22,23,24,25,26,27,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,24,23,22,21,20,19,18,17,17,18,17,17,18,17
22,21,20,19,18,17,16,15,14,13,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,23,24,25,26,27,28,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,25,24,23,22,21,20,19,18,18,19,18,18,19,18
23,22,21,20,19,18,17,16,15,14,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,24,25,26,27,28,29,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,26,25,24,23,22,21,20,19,19,20,19,19,20,19
24,23,22,21,20,19,18,17,16,15,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,25,26,27,28,29,30,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,27,26,25,24,23,22,21,20,20,21,20,20,21,20
25,24,23,22,21,20,19,18,17,16,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,26,27,28,29,30,31,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,28,27,26,25,24,23,22,21,21,22,21,21,22,21
13,12,11,10,9,8,9,10,11,12,13,14,15,16,17,16,17,18,19,20,21,22,23,24,25,26,27,28,22,23,24,25,26,27,24,23,22,21,20,19,18,17,16,15,14,13,12,13,14,15,14,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,0,1,2,3,4,5,6,7,9,10,11,13,14,15
12,11,10,9,8,7,8,9,10,11,12,13,14,15,16,15,16,17,18,19,20,21,22,23,24,25,26,27,21,22,23,24,25,26,23,22,21,20,19,18,17,16,15,14,13,12,11,12,13,14,13,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,1,0,1,2,3,4,5,6,8,9,10,12,13,14
11,10,9,8,7,6,7,8,9,10,11,12,13,14,15,14,15,16,17,18,19,20,21,22,23,24,25,26,20,21,22,23,24,25,22,21,20,19,18,17,16,15,14,13,12,11,10,11,12,13,12,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,2,1,0,1,2,3,4,5,7,8,9,11,12,13
10,9,8,7,6,5,6,7,8,9,10,11,12,13,14,13,14,15,16,17,18,19,20,21,22,23,24,25,19,20,21,22,23,24,21,20,19,18,17,16,15,14,13,12,11,10,9,10,11,12,11,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,3,2,1,0,1,2,3,4,6,7,8,10,11,12
9,8,7,6,5,4,5,6,7,8,9,10,11,12,13,12,13,14,15,16,17,18,19,20,21,22,23,24,18,19,20,21,22,23,20,19,18,17,16,15,14,13,12,11,10,9,8,9,10,11,10,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,4,3,2,1,0,1,2,3,5,6,7,9,10,11
8,7,6,5,4,3,4,5,6,7,8,9,10,11,12,11,12,13,14,15,16,17,18,19,20,21,22,23,17,18,19,20,21,22,19,18,17,16,15,14,13,12,11,10,9,8,7,8,9,10,9,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,5,4,3,2,1,0,1,2,4,5,6,8,9,10
7,6,5,4,3,2,3,4,5,6,7,8,9,10,11,10,11,12,13,14,15,16,17,18,19,20,21,22,16,17,18,19,20,21,18,17,16,15,14,13,12,11,10,9,8,7,6,7,8,9,8,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,6,5,4,3,2,1,0,1,3,4,5,7,8,9
6,5,4,3,2,1,2,3,4,5,6,7,8,9,10,9,10,11,12,13,14,15,16,17,18,19,20,21,15,16,17,18,19,20,17,16,15,14,13,12,11,10,9,8,7,6,5,6,7,8,7,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,7,6,5,4,3,2,1,0,2,3,4,6,7,8
6,5,4,3,2,1,2,3,4,5,6,7,8,9,8,7,8,9,10,11,12,13,14,15,16,17,18,19,13,14,15,16,17,18,15,14,13,12,11,10,9,8,7,6,5,4,3,4,5,6,7,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,9,8,7,6,5,4,3,2,0,1,2,4,5,6
7,6,5,4,3,2,3,4,5,6,7,8,9,8,7,6,7,8,9,10,11,12,13,14,15,16,17,18,12,13,14,15,16,17,14,13,12,11,10,9,8,7,6,5,4,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,10,9,8,7,6,5,4,3,1,0,1,3,4,5
8,7,6,5,4,3,4,5,6,7,6,7,8,7,6,5,6,7,8,9,10,11,12,13,14,15,16,17,11,12,13,14,15,16,13,12,11,10,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,11,10,9,8,7,6,5,4,2,1,0,2,3,4
10,9,8,7,6,5,6,7,8,7,6,7,6,5,4,3,4,5,6,7,8,9,10,11,12,13,14,15,9,10,11,12,13,14,13,12,11,10,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,13,12,11,10,9,8,7,6,4,3,2,0,1,2
11,10,9,8,7,6,7,8,9,8,7,6,5,4,3,2,3,4,5,6,7,8,9,10,11,12,13,14,8,9,10,11,12,13,14,13,12,11,10,9,8,7,6,5,4,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,14,13,12,11,10,9,8,7,5,4,3,1,0,1
12,11,10,9,8,7,8,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,10,11,12,13,7,8,9,10,11,12,15,14,13,12,11,10,9,8,7,6,5,4,3,4,5,6,7,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,15,14,13,12,11,10,9,8,6,5,4,2,1,0
